Comparison	Gene	PVal	FDR	Log2FC	abs	Label	Paradigm
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	MTRNR2L12	4.69189248850168e-57	5.7302082962071e-53	1.8713338782541	1.8713338782541	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	MT-CO2	2.20562338630722e-21	1.3468639208485e-17	0.746125587506695	0.746125587506695	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	MT-CO1	2.62902660930775e-17	4.58690028278221e-14	0.718739081889335	0.718739081889335	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	RPL18	1.7596165944109e-16	2.68627468344254e-13	-0.820478553569687	0.820478553569687	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	RPL3	5.52450035994346e-16	7.49674698844327e-13	-0.873565708243006	0.873565708243006	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	CLPB	7.51739493301505e-16	8.3463585742648e-13	-0.265931103340333	0.265931103340333	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	S100B	3.62974255258314e-15	3.41000352266907e-12	-0.852268811021832	0.852268811021832	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	CALM1	1.07024950384886e-13	7.68879834735656e-11	-0.725040227736404	0.725040227736404	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	HPS6	1.19196602035543e-13	8.08748944811162e-11	-0.163004395925483	0.163004395925483	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	CHID1	2.01067732325235e-13	1.22782010744405e-10	-0.785698997476592	0.785698997476592	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	EID1	3.31673337918912e-13	1.8412393072744e-10	-0.713877237107221	0.713877237107221	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	BEX3	1.07874354652568e-12	5.06719035912235e-10	-0.807218029428153	0.807218029428153	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	METRN	1.37854374689479e-12	5.61205159360869e-10	-0.727032260050097	0.727032260050097	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	RPS24	3.57346016175534e-12	1.36383340485994e-09	-0.72590480997061	0.72590480997061	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	H2AZ1	7.39383553381739e-12	2.6559092168974e-09	-1.08143018736451	1.08143018736451	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	VDAC2	9.34573469671227e-12	3.26112736716991e-09	-0.873501627985043	0.873501627985043	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	FGF2	1.4042991361789e-11	4.51334351319813e-09	-0.157871463229354	0.157871463229354	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	FABP7	1.40140821312707e-11	4.51334351319813e-09	-0.858858528524721	0.858858528524721	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	PPIA	1.79438274361471e-11	5.61917857635038e-09	-0.725838143490578	0.725838143490578	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	GRPEL1	3.06935231713977e-11	8.74024319408261e-09	-0.352113862212218	0.352113862212218	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	PTMA	4.68996948732917e-11	1.14557194697502e-08	-0.727539895680686	0.727539895680686	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	EXOC2	4.98268588015955e-11	1.17203598807662e-08	-0.424668758344709	0.424668758344709	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	EIF1	4.99024575288499e-11	1.17203598807662e-08	-0.601910039621789	0.601910039621789	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	PORCN	5.284799315245e-11	1.21779724598278e-08	-0.180889454985185	0.180889454985185	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	H3-3A	5.43601830445267e-11	1.22944613985705e-08	-0.619040937680856	0.619040937680856	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	GNAS	8.44575240479478e-11	1.71913290199598e-08	-0.620166924741463	0.620166924741463	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	OAZ1	8.3611925718044e-11	1.71913290199598e-08	-0.894800409817829	0.894800409817829	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	SNN	1.76741411051454e-10	3.17432772525207e-08	-0.283287456292994	0.283287456292994	HD Allograft vs HD Ctr	Allograft
HD.Neonatal.Rescue.vs.HD.Neonatal.Alone	CYB5B	2.22876671454934e-10	3.83379265982973e-08	-0.210866867119703	0.210866867119703	HD Allograft vs HD Ctr	Allograft
