TF	Target	Weight
CEBPZ	BCL7A	2.30653736077365
CEBPZ	MEPCE	0.960992749663862
CEBPZ	TXLNG	3.15980702223618
CEBPZ	RTN3	0.435399153547176
CEBPZ	KXD1	1.33134134558937
CEBPZ	ELF1	0.474066494235885
CEBPZ	TUBA1B	0.4926666127667
CEBPZ	UMPS	4.6341105722101
CEBPZ	TPM3	2.00019137357541
CEBPZ	ENO1	1.50156173600042
CEBPZ	FRAT2	2.37058204616179
CEBPZ	GEMIN6	0.814058542432822
CEBPZ	CNPY3	0.51825651526076
CEBPZ	RPS8	0.645793993487853
CEBPZ	CBX5	2.79860706282823
CEBPZ	SBK1	2.65444113284468
CEBPZ	DNAJB6	0.909703485241931
CEBPZ	LHPP	0.502064263985982
CEBPZ	SNRNP35	0.839990786774666
CEBPZ	ACTR2	3.48935504255792
CEBPZ	ZNF703	0.888009034086707
CEBPZ	SNRPD1	4.12935770158591
CEBPZ	TXNRD1	1.54844783156031
CEBPZ	RALY	0.791578905691524
CEBPZ	ACBD3	4.3677532572159
CEBPZ	WDCP	0.883858562335841
CTCF	BAG6	1.46056088675295
CTCF	TRMT112	1.77430392385223
CTCF	SUPT16H	0.539069092893527
CTCF	ZNF865	0.857306580100552
CTCF	PRPF6	0.716499929861462
CTCF	EIF3I	0.427734146159696
CTCF	GNAI3	1.13815727114603
CTCF	AP1S2	0.775752382478622
CTCF	CPSF3	2.32447783875652
CTCF	ITGB1BP1	0.672529600959343
CTCF	PSMD14	2.31976318268529
CTCF	UBL5	0.474358562665243
CTCF	SF3B4	2.49435874783843
CTCF	MANBAL	0.610822157403616
CTCF	TPRKB	0.863802300165309
CTCF	ANAPC15	0.516236867446597
CTCF	NOSIP	0.936633747490777
CTCF	NDUFS3	0.456623780486592
CTCF	LSM1	0.652507517202243
CTCF	RPL27A	1.04181414654115
CTCF	TMEM208	0.905083455495461
CTCF	PSMG3	0.510621568900162
CTCF	PDAP1	1.023773792134
CTCF	NIF3L1	1.4582121622175
CTCF	BANF1	2.16010167119225
CTCF	PCOLCE	0.809277989912911
CTCF	SUMO1	0.550524187782387
CTCF	WDR83	0.843161622083143
CTCF	NGRN	1.27633049901935
CTCF	PRPF19	2.07985795684412
CTCF	RAB11A	0.891700987358271
CTCF	RPF1	0.532511527923025
CTCF	USE1	0.567757645477761
CTCF	SF3B6	0.731406197330518
CTCF	LINC00909	1.02529299219769
CTCF	EIF2A	1.20297006340393
CTCF	UBLCP1	0.736351393975717
CTCF	PFN1	0.429012746840051
CTCF	NUDT5	0.514802626769199
CTCF	TMA7	0.686806223680027
CTCF	SCAF1	6.33553395427258
CTCF	UBA2	2.68601138943529
CTCF	AP2B1	1.54561533347471
CTCF	TADA3	1.91567990141731
CTCF	BBIP1	1.77576717176823
CTCF	TLN1	3.36596088350786
CTCF	SF3B2	1.20366419036753
CTCF	NAA20	0.501134146376753
CTCF	PDZD11	0.784252401650478
CTCF	TRAF7	5.65789272561471
CTCF	EAF1	0.442809261618442
CTCF	PPP4C	0.601424269626725
CTCF	TRMT6	1.10567593862165
CTCF	TINF2	2.45358804924015
CTCF	RRS1	0.827007158476009
CTCF	RPL32	0.521164356089873
CTCF	INIP	1.92808731896067
CTCF	IER2	0.514369768988174
CTCF	MAGEF1	1.05318961513839
CTCF	ACOT8	0.40693590159287
CTCF	TGS1	0.455770328481854
CTCF	THUMPD3	2.12484732833636
CTCF	RIC8A	0.642221703666574
CTCF	SEC11A	1.08639824628941
CTCF	RALA	0.715193902171706
CTCF	MEA1	0.665593492939079
CTCF	GSPT1	1.97668296972931
CTCF	GSKIP	0.902842397977501
CTCF	MUL1	0.971434161125479
CTCF	UTP23	0.703337649739464
CTCF	RPF2	0.508716652112527
CTCF	RPS6	0.614621679575163
CTCF	EXOSC3	1.25989442848606
CTCF	SNRPD1	1.31287650902171
CTCF	AGPAT1	2.39602546842214
CTCF	NKIRAS2	0.814101842348985
CTCF	GTF2F1	3.8853017620393
CTCF	ZNF513	0.430861247556152
CTCF	MRPL52	0.628494180359958
CTCF	ALKBH3	0.449795795030314
CTCF	HSP90AB1	1.69459299121708
CTCF	NOL12	2.97504621114947
CTCF	EIF5A	1.1163854661925
CTCF	TIMM10	2.28576783010534
CTCF	SNRPB	1.42744806880128
CTCF	GIN1	0.639336443629684
CTCF	ARPC2	0.676285566857456
CTCF	EFNB3	2.87578811524927
CTCF	DAZAP2	0.566192274142175
CTCF	ANAPC11	0.821431863864668
CTCF	PRKACA	0.948920788843816
CTCF	BFAR	0.940188743493592
CTCF	HAT1	0.742194445558651
CTCF	MTPN	0.704628238801502
CTCF	DUSP6	0.721506682942739
CTCF	RND1	0.693417021244241
CTCF	TMEM127	1.970945866188
CTCF	ABHD17C	0.68321795535846
CTCF	LAMTOR3	0.612922955826198
CTCF	CSTF2T	1.03151719020352
CTCF	YWHAB	1.25178649037
CTCF	PATZ1	1.62056059024693
CTCF	MAPK7	0.686789301077368
CTCF	TMEM218	0.555850212937219
CTCF	NUDC	0.859059949172664
CTCF	MYL12B	0.536398057357806
CTCF	CFL1	1.04745933422845
CTCF	WDR1	0.475419676735378
CTCF	COX8A	0.802639605673013
CTCF	PIH1D1	1.48115597594166
CTCF	MRPS22	0.487089272806796
CTCF	NUDT12	0.584125009399877
CTCF	EEF1B2	0.52830212897775
CTCF	TAF7	1.90824712730271
CTCF	PCBP1	2.82048246499706
CTCF	GMPR2	0.433774755697251
CTCF	DCAF12	0.575041741626001
CTCF	TNFRSF1A	0.462719059236525
CTCF	DUSP28	0.568673315406578
CTCF	DCTN3	0.938393218893947
CTCF	HNRNPF	1.26148223199828
CTCF	AHSA1	0.943033868228837
CTCF	TOMM40	0.553277807322919
CTCF	ARHGDIA	1.52826878823481
CTCF	BORCS7	0.646097980401625
CTCF	CSK	0.555017498477836
CTCF	PARK7	0.562024582959709
CTCF	DPM1	1.25521033650391
CTCF	TAF10	0.445605615014997
CTCF	EBAG9	0.517992297217393
CTCF	UGDH	0.610559236450478
CTCF	FAM110A	0.40245240678384
CTCF	LZIC	0.44011277123483
CTCF	MRPL10	0.744255450989571
CTCF	RFXANK	0.4161862077008
CTCF	UBR7	0.599614407743267
CTCF	BORCS8	0.716675528522481
CTCF	STOML1	0.415886267113897
CTCF	ZNF687	1.29009840493763
CTCF	LSM5	1.60269285897287
CTCF	DDA1	0.457127519170398
CTCF	ACTR2	1.33714935477633
CTCF	TXNIP	0.849963746756235
CTCF	ZNF213	1.02805358323342
CTCF	AKIRIN2	1.4442427141166
CTCF	RAE1	0.878702782527707
CTCF	TOMM70	1.47720971699012
CTCF	CHPF	0.516015831289484
CTCF	TIGD6	0.786875883281233
CTCF	MRPL33	0.427854028253804
CTCF	CDC27	2.00816170336851
CTCF	FBXW11	0.51829810923886
CTCF	RBM22	0.623816894713531
CTCF	NFKBIL1	0.752555094502309
CTCF	MPDU1	0.516798085352056
CTCF	ING2	1.08823269720259
CTCF	RPL26L1	0.460736759305031
CTCF	FKBP3	0.923135029996106
CTCF	SET	1.58355665497644
CTCF	MRPS10	0.503951344298033
CTCF	GRWD1	1.72314873858914
CTCF	IDH3B	0.872767435657959
CTCF	PSMC4	0.967710834274314
CTCF	POLR2M	1.98762344426106
CTCF	PKN1	0.500681156533139
CTCF	ZNF22	1.1049035464591
CTCF	RFK	0.675751402592315
CTCF	CSTF3	0.508471647538006
CTCF	APEH	2.22949986417715
CTCF	ZBTB45	0.802713431803296
CTCF	NUDT1	1.65497622765818
CTCF	MYL6B	0.521495569980475
CTCF	CTNNBL1	3.90590892887509
CTCF	ELOF1	1.19296725123165
CTCF	UBE2J2	0.564530424758164
CTCF	ADIPOR1	0.713273975519456
CTCF	RNF6	0.748089522610303
CTCF	MAP7D1	0.554650396486658
CTCF	SP2	0.586899892796458
CTCF	GRB2	0.702221387302628
CTCF	DEDD2	0.704091691106639
CTCF	MCRIP1	2.3340980558859
CTCF	MICU2	0.895065083506131
CTCF	ILF2	1.54361039072138
CTCF	MYPOP	3.26766069885803
CTCF	VEGFB	0.774601298420471
CTCF	GPATCH11	0.713021852913035
CTCF	PCGF2	9.98557240649889
CTCF	BBS4	0.601133819004033
CTCF	ENOPH1	1.04486209003961
CTCF	EIF4E	1.02563649821463
CTCF	SCARA3	0.644642312040393
CTCF	RPS16	0.642123069773689
CTCF	SNHG11	0.470958784808485
CTCF	DNAJA1	1.46697156875023
CTCF	RPL23	0.4813393690712
CTCF	TAF9	0.594701050133062
CTCF	GID4	0.936553507075375
CTCF	MTCH2	0.449253084609202
CTCF	BNIP3L	0.413751451568723
CTCF	XRCC5	4.10327248699523
CTCF	LSM8	0.998163630442417
CTCF	MEPCE	4.91946114278085
CTCF	GAR1	0.76625616550356
CTCF	RBMX2	2.00226822498918
CTCF	DENR	0.407664136986755
CTCF	DDT	1.05568285309676
CTCF	NUP62	1.79855268306128
CTCF	DPYSL2	1.86277702942072
CTCF	EIF2S1	0.460223339700165
CTCF	SLC35A5	1.1077478788897
CTCF	YEATS4	1.31341748701601
CTCF	UBA52	0.512202094152929
CTCF	AATF	1.31631755845603
CTCF	IRF2BPL	0.439975650452284
CTCF	CRKL	3.07139016227911
CTCF	TUBA1B	7.82889339007819
CTCF	MRPL57	0.635894336290976
CTCF	CTDNEP1	0.984845022285889
CTCF	RAB1B	1.0557674317428
CTCF	TUBG1	1.95416364348404
CTCF	GCA	0.884999192140767
CTCF	SSRP1	2.62062908922511
CTCF	VPS26B	0.916814954568085
CTCF	NUDCD2	2.20146846054629
CTCF	TCTA	0.785308532011795
CTCF	CEBPZOS	1.77749420755368
CTCF	PSD	0.566059195737184
CTCF	TOP1	0.568631332630785
CTCF	PSENEN	0.753727274434368
CTCF	HNRNPK	1.04361886431655
CTCF	SMAP1	1.32669572945503
CTCF	UBE2Q1	3.22595416946922
