Source	Target	Type
EIF2	EIF1AX	IPA
EIF2	EIF2A	IPA
EIF2	EIF2S1	IPA
EIF2	EIF3F	IPA
EIF2	EIF3I	IPA
EIF2	EIF3J	IPA
EIF2	EIF3L	IPA
EIF2	EIF4G2	IPA
EIF2	EIF5	IPA
EIF2	GRB2	IPA
EIF2	HNRNPA1	IPA
EIF2	MYC	IPA
EIF2	RALA	IPA
EIF2	RAP1B	IPA
EIF2	RPL10	IPA
EIF2	RPL10A	IPA
EIF2	RPL11	IPA
EIF2	RPL12	IPA
EIF2	RPL13A	IPA
EIF2	RPL14	IPA
EIF2	RPL15	IPA
EIF2	RPL18A	IPA
EIF2	RPL19	IPA
EIF2	RPL21	IPA
EIF2	RPL22	IPA
EIF2	RPL23	IPA
EIF2	RPL23A	IPA
EIF2	RPL26	IPA
EIF2	RPL27A	IPA
EIF2	RPL28	IPA
EIF2	RPL29	IPA
EIF2	RPL30	IPA
EIF2	RPL32	IPA
EIF2	RPL34	IPA
EIF2	RPL35	IPA
EIF2	RPL35A	IPA
EIF2	RPL37	IPA
EIF2	RPL37A	IPA
EIF2	RPL41	IPA
EIF2	RPL6	IPA
EIF2	RPL7	IPA
EIF2	RPL8	IPA
EIF2	RPLP0	IPA
EIF2	RPLP1	IPA
EIF2	RPLP2	IPA
EIF2	RPS11	IPA
EIF2	RPS12	IPA
EIF2	RPS13	IPA
EIF2	RPS14	IPA
EIF2	RPS15	IPA
EIF2	RPS16	IPA
EIF2	RPS18	IPA
EIF2	RPS19	IPA
EIF2	RPS2	IPA
EIF2	RPS20	IPA
EIF2	RPS21	IPA
EIF2	RPS23	IPA
EIF2	RPS27	IPA
EIF2	RPS27A	IPA
EIF2	RPS28	IPA
EIF2	RPS29	IPA
EIF2	RPS3	IPA
EIF2	RPS3A	IPA
EIF2	RPS4X	IPA
EIF2	RPS5	IPA
EIF2	RPS6	IPA
EIF2	RPS7	IPA
EIF2	RPS8	IPA
EIF2	RPSA	IPA
EIF2	UBA52	IPA
Synthesis of protein	CNBP	IPA
Synthesis of protein	RPL13A	IPA
Synthesis of protein	TUFM	IPA
Synthesis of protein	RPLP1	IPA
Synthesis of protein	RPL23	IPA
Synthesis of protein	RPS5	IPA
Synthesis of protein	EEF2	IPA
Synthesis of protein	NCBP2	IPA
Synthesis of protein	GSPT1	IPA
Synthesis of protein	PAIP2	IPA
Synthesis of protein	RPL27A	IPA
Synthesis of protein	RPL19	IPA
Synthesis of protein	RPL30	IPA
Synthesis of protein	RPS29	IPA
Synthesis of protein	RPS6	IPA
Synthesis of protein	APEH	IPA
Synthesis of protein	EEF1A1	IPA
Synthesis of protein	PARK7	IPA
Synthesis of protein	HNRNPK	IPA
Synthesis of protein	EIF5A	IPA
Synthesis of protein	RPL22	IPA
Synthesis of protein	RPS7	IPA
Synthesis of protein	EIF3L	IPA
Synthesis of protein	EIF4G2	IPA
Synthesis of protein	KHDRBS1	IPA
Synthesis of protein	EIF5	IPA
Synthesis of protein	MYC	IPA
Synthesis of protein	EIF2A	IPA
Synthesis of protein	NCL	IPA
Synthesis of protein	CCND1	IPA
Synthesis of protein	MRPL17	IPA
Synthesis of protein	EIF3F	IPA
Synthesis of protein	RPS15	IPA
Synthesis of protein	EIF2S1	IPA
Synthesis of protein	SRSF3	IPA
Synthesis of protein	STIP1	IPA
Synthesis of protein	MTPN	IPA
Synthesis of protein	SUMO1	IPA
Synthesis of protein	EIF3I	IPA
Synthesis of protein	RPS20	IPA
Synthesis of protein	RPL37	IPA
Synthesis of protein	YBX1	IPA
Synthesis of protein	MRPL12	IPA
Synthesis of protein	RPL41	IPA
Synthesis of protein	RPS3A	IPA
Synthesis of protein	NPM1	IPA
Synthesis of protein	EIF4EBP1	IPA
Synthesis of protein	PIM3	IPA
Synthesis of protein	PPM1G	IPA
Synthesis of protein	EIF1AX	IPA
Synthesis of protein	CDK4	IPA
Synthesis of protein	RACK1	IPA
Synthesis of protein	PPAT	IPA
Synthesis of protein	IGFBP2	IPA
Synthesis of protein	RBM3	IPA
Synthesis of protein	EEF1B2	IPA
Synthesis of protein	STAU1	IPA
Synthesis of protein	RPS14	IPA
Synthesis of protein	RPS3	IPA
Synthesis of protein	BZW1	IPA
Synthesis of protein	MRPL57	IPA
Synthesis of protein	RPS23	IPA
Synthesis of protein	ABCF1	IPA
Synthesis of protein	RPS28	IPA
Synthesis of protein	RPS4X	IPA
Synthesis of protein	GAPDH	IPA
Synthesis of protein	RHEB	IPA
Synthesis of protein	SERP1	IPA
Synthesis of protein	RPL10	IPA
Synthesis of protein	RPL10A	IPA
