"","Comparison","Label","Paradigm"
"1","WT.Adult.Alone.vs.HD.Neonatal.Alone","WT Ctr vs HD Ctr","Allograft"
"2","WT.Adult.Rescue.vs.WT.Adult.Alone","WT Allograft vs WT Ctr","Allograft"
"3","WT.Adult.Rescue.vs.HD.Neonatal.Rescue","WT Allograft vs HD Allograft","Allograft"
"4","HD.Neonatal.Rescue.vs.HD.Neonatal.Alone","HD Allograft vs HD Ctr","Allograft"
"5","WT.Adult.Alone.vs.WT.Neonatal.Alone","Young WT Ctr vs Aged WT Ctr","Isograft"
"6","WT.Adult.CtrlRescue.vs.WT.Adult.Alone","Young WT Isograft vs Young WT Ctr","Isograft"
"7","WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue","Young WT Isograft vs Aged WT Isograft","Isograft"
"8","WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone","Aged WT Isograft vs Aged WT Ctr","Isograft"
